movieId,title,genres
1,Muthu (1995),Action|Drama|Musical
2,Baasha (1995),Action|Crime|Drama
3,Indian (1996),Action|Drama|Thriller
4,Kadhal Kottai (1996),Drama|Romance
5,Arunachalam (1997),Action|Comedy|Drama
6,Jeans (1998),Comedy|Drama|Romance
7,Padayappa (1999),Action|Drama
8,Mudhalvan (1999),Action|Drama|Thriller
9,Kandukondain Kandukondain (2000),Drama|Romance
10,Alaipayuthey (2000),Drama|Romance
11,Virumbugiren (2001),Drama|Romance
12,Poovellam Un Vasam (2001),Drama|Romance
13,Villain (2002),Action|Drama|Thriller
14,Kannathil Muthamittal (2002),Drama|War
15,Anbe Sivam (2003),Adventure|Comedy|Drama
16,Kaakha Kaakha (2003),Action|Crime|Drama
17,Ghilli (2004),Action|Comedy|Romance
18,7G Rainbow Colony (2004),Drama|Romance
19,Chandramukhi (2005),Comedy|Horror|Musical
20,Anniyan (2005),Action|Drama|Thriller
21,Veyil (2006),Drama
22,Paruthiveeran (2007),Action|Drama|Romance
23,Billa (2007),Action|Crime|Thriller
24,Subramaniapuram (2008),Action|Crime|Drama
25,Dasavathaaram (2008),Action|Sci-Fi|Thriller
26,Ayan (2009),Action|Crime|Thriller
27,Naadodigal (2009),Action|Drama
28,Vinnai Thaandi Varuvaaya (2010),Drama|Romance
29,Enthiran (2010),Action|Sci-Fi|Thriller
30,Ko (2011),Action|Thriller
31,Mayakkam Enna (2011),Drama|Romance
32,3 (2012),Drama|Romance|Thriller
33,Thuppakki (2012),Action|Thriller
34,Raja Rani (2013),Comedy|Drama|Romance
35,Theeya Velai Seiyyanum Kumaru (2013),Comedy|Romance
36,Vikram Vedha (2017),Action|Crime|Thriller
37,Vada Chennai (2018),Action|Crime|Drama
38,96 (2018),Drama|Romance
39,Pariyerum Perumal (2018),Crime|Drama
40,Super Deluxe (2019),Comedy|Crime|Drama
41,Asuran (2019),Action|Drama
42,Kaithi (2019),Action|Thriller
43,Petta (2019),Action|Drama
44,Bigil (2019),Action|Drama|Sports
45,Master (2021),Action|Thriller
46,Soorarai Pottru (2020),Drama
47,Karnan (2021),Action|Drama
48,Jai Bhim (2021),Crime|Drama
49,Doctor (2021),Action|Comedy
50,Love Today (2022),Comedy|Romance
51,Vikram (2022),Action|Thriller
52,Ponniyin Selvan: I (2022),Action|Adventure|Drama
53,Thiruchitrambalam (2022),Comedy|Drama|Romance
54,Varisu (2023),Action|Drama
55,Pathu Thala (2023),Action|Crime|Drama
56,Mark Antony (2023),Action|Comedy|Sci-Fi
57,Leo (2023),Action|Thriller
58,Ayothi (2023),Drama
59,Good Night (2023),Comedy|Drama
60,Maaveeran (2023),Action|Drama|Fantasy
61,Chitha (2023),Drama
62,Por Thozhil (2023),Crime|Thriller
63,Jigarthanda DoubleX (2023),Action|Crime|Drama
64,Japan (2023),Action|Crime|Drama
65,Captain Miller (2024),Action|Adventure|Drama
66,Annapoorani (2023),Drama
67,Ayalan (2024),Action|Adventure
68,Lal Salaam (2024),Action|Drama
69,Blue Star (2024),Drama|Sports
70,Aranmanai 4 (2024),Comedy|Horror
71,Gentleman (1993),Action|Drama
72,Walter Vetrivel (1993),Action|Comedy
73,Suriyan (1992),Action|Drama
74,Thevar Magan (1992),Drama
75,Chinna Thambi (1991),Drama|Romance
76,Thalapathi (1991),Action|Drama
77,Michael Madana Kama Rajan (1990),Comedy
78,Apoorva Sagodharargal (1989),Action|Comedy
79,Vetri Vizha (1989),Action|Thriller
80,Dharmathin Thalaivan (1988),Drama
81,Agni Natchathiram (1988),Action|Drama
82,Nayakan (1987),Crime|Drama
83,Velai Kidaichuduchu (1987),Comedy|Romance
84,Mouna Ragam (1986),Drama|Romance
85,Punnagai Mannan (1986),Comedy|Drama|Romance
86,Padikkadavan (1985),Action|Drama
87,Andha Oru Nimidam (1985),Drama
88,Poove Poochooda Vaa (1985),Drama|Romance
89,Enakkul Oruvan (1984),Drama|Fantasy
90,Anbulla Rajinikanth (1984),Drama
91,Thanga Magan (1983),Drama
92,Moondram Pirai (1982),Drama|Romance
93,Payanangal Mudivathillai (1982),Drama|Romance
94,Tik Tik Tik (1981),Action|Adventure
95,Raja Parvai (1981),Drama
96,Kali (1980),Action|Drama
97,Varumayin Niram Sivappu (1980),Drama
98,Johnny (1980),Action|Drama
99,Ninaithale Inikkum (1979),Drama|Musical|Romance
100,Annai Oru Aalayam (1979),Drama
101,Aval Appadithan (1978),Drama
102,Thyagam (1978),Drama
103,16 Vayathinile (1977),Drama
104,Avargal (1977),Drama
105,Oru Oodhappu Kan Simittugiradhu (1976),Drama
106,Anthuleni Katha (1976),Drama
107,Apoorva Raagangal (1975),Drama
108,Thanga Pathakkam (1974),Action|Drama
109,Bharatha Vilas (1973),Drama
110,Pattikada Pattanama (1972),Drama
111,Annai Velankanni (1971),Drama
112,Enga Mama (1970),Drama
113,Adimai Penn (1969),Drama
114,Thillana Mohanambal (1968),Drama|Musical
115,Galatta Kalyanam (1968),Comedy
116,Thiruvilayadal (1965),Fantasy
117,Padagotti (1964),Drama
118,Paarthal Pasi Theerum (1962),Drama
119,Pasamalar (1961),Drama
120,Kappalottiya Thamizhan (1961),Drama
121,Veerapandiya Kattabomman (1959),Action|Drama
122,Madurai Veeran (1956),Action|Drama
123,Alibabavum 40 Thirudargalum (1956),Adventure|Fantasy
124,Andha Naal (1954),Crime|Drama|Thriller
125,Parasakthi (1952),Drama
126,Velaikari (1949),Drama
127,Chandralekha (1948),Action|Drama|Musical
